name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
chevrolet chevelle malibu,18,8,307,130,3504,12,70,usa
buick skylark 320,15,8,350,165,3693,11.5,70,usa
plymouth satellite,18,8,318,150,3436,11,70,usa
amc rebel sst,16,8,304,150,3433,12,70,usa
ford torino,17,8,302,140,3449,10.5,70,usa
ford galaxie 500,15,8,429,198,4341,10,70,usa
chevrolet impala,14,8,454,220,4354,9,70,usa
plymouth fury iii,14,8,440,215,4312,8.5,70,usa
pontiac catalina,14,8,455,225,4425,10,70,usa
amc ambassador dpl,15,8,390,190,3850,8.5,70,usa
dodge challenger se,15,8,383,170,3563,10,70,usa
plymouth 'cuda 340,14,8,340,160,3609,8,70,usa
chevrolet monte carlo,15,8,400,150,3761,9.5,70,usa
buick estate wagon (sw),14,8,455,225,3086,10,70,usa
toyota corona mark ii,,4,113,95,2372,15,70,japan
plymouth duster,22,6,198,95,2833,15.5,70,usa
amc hornet,18,6,199,97,2774,15.5,70,usa
ford maverick,21,6,200,85,2587,16,70,usa
datsun pl510,27,4,97,88,2130,14.5,70,japan
volkswagen 1131 deluxe sedan,26,,97,46,1835,20.5,70,europe
peugeot 504,25,4,110,87,2672,17.5,70,europe
audi 100 ls,24,4,107,90,2430,14.5,70,europe
saab 99e,25,4,104,95,2375,17.5,70,europe
bmw 2002,26,4,121,113,2234,12.5,70,europe
